UF,Nivel_SQL,Nivel_Python,Total_nivel,Domina_SQL,Domina_Python,Total_Pessoas,Total_pessoas_dominantes,Nivel_Python_%,Nivel_SQL_%,Total_nivel_%
SP,383.59999999999997,529.4,913.0,415,604,822,1019,0.32201946472019466,0.2333333333333333,0.555352798053528
MG,101.8,141.9,243.7,109,159,229,268,0.30982532751091707,0.2222707423580786,0.5320960698689956
PR,88.1,119.0,207.1,97,139,184,236,0.3233695652173913,0.23940217391304347,0.5627717391304348
RJ,86.2,113.2,199.4,88,125,185,213,0.30594594594594593,0.23297297297297298,0.538918918918919
RS,60.199999999999996,71.0,131.2,68,85,119,153,0.29831932773109243,0.2529411764705882,0.5512605042016806
SC,48.599999999999994,68.3,116.89999999999999,54,77,101,131,0.3381188118811881,0.24059405940594056,0.5787128712871287
CE,27.799999999999997,34.199999999999996,61.99999999999999,32,41,53,73,0.32264150943396225,0.2622641509433962,0.5849056603773585
ES,24.799999999999997,37.1,61.9,26,42,52,68,0.35673076923076924,0.23846153846153845,0.5951923076923077
PE,23.799999999999997,29.5,53.3,28,33,45,61,0.3277777777777778,0.2644444444444444,0.5922222222222222
DF,19.4,33.699999999999996,53.099999999999994,17,37,52,54,0.3240384615384615,0.18653846153846151,0.510576923076923
BA,19.9,26.599999999999998,46.5,22,27,45,49,0.2955555555555555,0.2211111111111111,0.5166666666666667
GO,16.4,22.3,38.7,17,26,33,43,0.3378787878787879,0.24848484848484848,0.5863636363636364
MT,13.1,14.299999999999999,27.4,15,16,26,31,0.27499999999999997,0.2519230769230769,0.5269230769230769
PB,8.6,15.2,23.799999999999997,8,17,20,25,0.38,0.215,0.595
RN,7.8,10.7,18.5,9,12,18,21,0.2972222222222222,0.21666666666666667,0.5138888888888888
PA,5.699999999999999,9.6,15.299999999999999,6,12,12,18,0.39999999999999997,0.23749999999999996,0.6375
SE,3.9,9.4,13.3,3,9,13,12,0.36153846153846153,0.15,0.5115384615384616
AM,3.1999999999999997,9.2,12.399999999999999,2,10,11,12,0.41818181818181815,0.14545454545454545,0.5636363636363636
AL,3.5999999999999996,7.8,11.399999999999999,3,8,12,11,0.325,0.15,0.4749999999999999
MS,4.699999999999999,5.8,10.5,5,6,9,11,0.3222222222222222,0.26111111111111107,0.5833333333333334
MA,3.4,3.8,7.199999999999999,4,4,6,8,0.31666666666666665,0.2833333333333333,0.6
PI,2.7,3.5,6.2,3,4,5,7,0.35,0.27,0.62
TO,1.7,1.9,3.5999999999999996,2,2,3,4,0.31666666666666665,0.2833333333333333,0.6
RO,1.0,0.6,1.6,1,0,3,1,0.09999999999999999,0.16666666666666666,0.26666666666666666
AP,0.0,1.0,1.0,0,1,1,1,0.5,0.0,0.5
