Idade,Nivel_PowerBI,Nivel_Qlik,Nivel_Tableau,Nivel_Metabase,Nivel_Looker,Nivel_Looker_Studio,Nivel_Amazon_Quicksight,Nivel_Alteryx,Nivel_Grafana,Nivel_Pentaho,Nivel_Excel,Total_nivel,Domina_PowerBI,Domina_Qlik,Domina_Tableau,Domina_Metabase,Domina_Looker,Domina_Looker_Studio,Domina_Amazon_Quicksight,Domina_Alteryx,Domina_Grafana,Domina_Pentaho,Domina_Excel,Total_Pessoas,Total_pessoas_dominantes,Nivel_PowerBI_%,Nivel_Qlik_%,Nivel_Tableau_%,Nivel_Metabase_%,Nivel_Looker_%,Nivel_Looker_Studio_%,Nivel_Amazon_Quicksight_%,Nivel_Alteryx_%,Nivel_Grafana_%,Nivel_Pentaho_%,Nivel_Excel_%,Nivel_Total_%
25-29,771.0,41.2,225.4,117.2,260.4,153.79999999999998,41.8,17.8,60.8,34.8,76.39999999999999,1800.6000000000001,747,54,249,144,338,253,45,29,100,58,126,1654,2143,0.2330713422007255,0.012454655380894802,0.06813784764207981,0.03542926239419589,0.07871825876662636,0.046493349455864565,0.012636033857315598,0.0053808948004836765,0.01837968561064087,0.010519951632406287,0.023095525997581617,0.5443168077388151
30-34,560.2,38.2,190.2,73.8,197.79999999999998,108.39999999999999,37.4,17.4,43.4,28.799999999999997,58.199999999999996,1353.8000000000004,541,51,215,95,263,180,43,27,71,48,97,1377,1631,0.20341321713870736,0.013870733478576617,0.0690631808278867,0.02679738562091503,0.07182280319535221,0.039360929557007984,0.013580246913580247,0.0063180827886710235,0.015758896151053012,0.01045751633986928,0.02113289760348584,0.49157588961510545
35-39,308.8,28.0,89.8,27.2,87.2,57.4,19.0,11.799999999999999,20.8,8.2,36.6,694.8,300,36,97,32,120,95,21,19,34,13,61,790,828,0.19544303797468354,0.017721518987341773,0.05683544303797468,0.017215189873417722,0.05518987341772152,0.03632911392405063,0.012025316455696202,0.0074683544303797466,0.013164556962025316,0.005189873417721518,0.023164556962025316,0.43974683544303794
22-24,271.8,13.6,54.8,22.4,59.8,38.199999999999996,16.4,6.0,15.399999999999999,13.799999999999999,30.599999999999998,542.8,257,20,58,26,81,63,18,10,25,23,49,493,630,0.27565922920892494,0.013793103448275862,0.05557809330628803,0.022718052738336714,0.060649087221095334,0.03874239350912778,0.01663286004056795,0.006085192697768763,0.015618661257606489,0.013995943204868152,0.03103448275862069,0.5505070993914807
40-44,152.0,14.2,48.0,14.2,35.4,20.2,5.0,4.2,17.4,10.2,14.399999999999999,335.1999999999999,148,19,48,17,51,33,5,7,29,17,24,429,398,0.17715617715617715,0.01655011655011655,0.055944055944055944,0.01655011655011655,0.04125874125874126,0.023543123543123542,0.005827505827505828,0.0048951048951048955,0.02027972027972028,0.011888111888111888,0.016783216783216783,0.3906759906759905
17-21,80.0,4.8,11.4,3.8,12.0,6.0,2.2,1.7999999999999998,3.5999999999999996,1.7999999999999998,8.4,135.79999999999998,72,6,11,5,16,10,3,3,6,3,14,178,149,0.2247191011235955,0.01348314606741573,0.03202247191011236,0.010674157303370785,0.033707865168539325,0.016853932584269662,0.006179775280898877,0.0050561797752808986,0.010112359550561797,0.0050561797752808986,0.02359550561797753,0.38146067415730334
45-49,53.6,3.6,13.8,1.7999999999999998,11.4,6.0,1.8,2.2,4.8,3.5999999999999996,8.4,111.0,50,4,17,3,15,10,1,3,8,6,14,189,131,0.1417989417989418,0.009523809523809525,0.03650793650793651,0.0047619047619047615,0.03015873015873016,0.015873015873015872,0.004761904761904762,0.005820105820105821,0.012698412698412698,0.009523809523809523,0.022222222222222223,0.29365079365079366
50-54,23.8,2.8,7.3999999999999995,1.6,7.0,4.2,1.4,0.6,1.6,4.2,1.7999999999999998,56.400000000000006,21,2,9,2,11,7,1,1,2,7,3,111,66,0.10720720720720721,0.012612612612612612,0.03333333333333333,0.007207207207207207,0.03153153153153153,0.01891891891891892,0.006306306306306306,0.0027027027027027024,0.007207207207207207,0.01891891891891892,0.008108108108108107,0.25405405405405407
55+,19.2,1.2,8.2,0.0,1.7999999999999998,1.2,0.6,0.6,0.6,0.6,1.7999999999999998,35.8,18,2,9,0,3,2,1,1,1,1,3,72,41,0.13333333333333333,0.008333333333333333,0.056944444444444436,0.0,0.012499999999999999,0.008333333333333333,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.012499999999999999,0.2486111111111111
